"","protein.ids","majority.protein.ids","peptide.counts..all.","peptide.counts..razor.unique.","peptide.counts..unique.","fasta.headers","number.of.proteins","peptides","razor...unique.peptides","unique.peptides"
"740","sp|P48193|EPB41_MOUSE","sp|P48193|EPB41_MOUSE","4","4","4","Protein 4.1",1,4,4,4
"741","sp|P48410|ABCD1_MOUSE","sp|P48410|ABCD1_MOUSE","2","2","2","ATP-binding cassette sub-family D member 1",1,2,2,2
"742","sp|P48428|TBCA_MOUSE","sp|P48428|TBCA_MOUSE","5","5","5","Tubulin-specific chaperone A",1,5,5,5
"743","sp|P48678|LMNA_MOUSE","sp|P48678|LMNA_MOUSE","82","82","80","Prelamin-A/C",1,82,82,80
"744","sp|P48722|HS74L_MOUSE","sp|P48722|HS74L_MOUSE","25","24","24","Heat shock 70 kDa protein 4L",1,25,24,24
"745","sp|P48758|CBR1_MOUSE","sp|P48758|CBR1_MOUSE","18","18","17","Carbonyl reductase [NADPH] 1",1,18,18,17
"746","sp|P48771|CX7A2_MOUSE","sp|P48771|CX7A2_MOUSE","3","3","3","Cytochrome c oxidase subunit 7A2, mitochondrial",1,3,3,3
"747","sp|P48787|TNNI3_MOUSE","sp|P48787|TNNI3_MOUSE","5","5","5","Troponin I, cardiac muscle",1,5,5,5
"748","sp|P48962|ADT1_MOUSE;sp|Q3V132|ADT4_MOUSE","sp|P48962|ADT1_MOUSE","26;5","12;0","12;0","ADP/ATP translocase 1",2,26,12,12
"749","sp|P48999|LOX5_MOUSE","sp|P48999|LOX5_MOUSE","12","12","12","Polyunsaturated fatty acid 5-lipoxygenase",1,12,12,12
"750","sp|P49138|MAPK2_MOUSE;sp|Q9D2E1|TSSK3_MOUSE;sp|Q922R0|PRKX_MOUSE","sp|P49138|MAPK2_MOUSE","3;1;1","3;1;1","2;0;0","MAP kinase-activated protein kinase 2",3,3,3,2
"751","sp|P49183|DNAS1_MOUSE","sp|P49183|DNAS1_MOUSE","2","2","2","Deoxyribonuclease-1",1,2,2,2
"752","sp|P49290|PERE_MOUSE","sp|P49290|PERE_MOUSE","42","42","38","Eosinophil peroxidase",1,42,42,38
"753","sp|P49300|CLC10_MOUSE","sp|P49300|CLC10_MOUSE","4","4","4","C-type lectin domain family 10 member A",1,4,4,4
"754","sp|P49312|ROA1_MOUSE","sp|P49312|ROA1_MOUSE","23","23","23","Heterogeneous nuclear ribonucleoprotein A1",1,23,23,23
"755","sp|P49442|INPP_MOUSE","sp|P49442|INPP_MOUSE","3","3","3","Inositol polyphosphate 1-phosphatase",1,3,3,3
"756","sp|P49443|PPM1A_MOUSE","sp|P49443|PPM1A_MOUSE","3","3","2","Protein phosphatase 1A",1,3,3,2
"757","sp|P49586|PCY1A_MOUSE;sp|Q811Q9|PCY1B_MOUSE","sp|P49586|PCY1A_MOUSE","5;1","5;1","5;1","Choline-phosphate cytidylyltransferase A",2,5,5,5
"758","sp|P49710|HCLS1_MOUSE","sp|P49710|HCLS1_MOUSE","23","23","23","Hematopoietic lineage cell-specific protein",1,23,23,23
"759","sp|P49717|MCM4_MOUSE","sp|P49717|MCM4_MOUSE","4","4","4","DNA replication licensing factor MCM4",1,4,4,4
"760","sp|P49718|MCM5_MOUSE","sp|P49718|MCM5_MOUSE","4","4","4","DNA replication licensing factor MCM5",1,4,4,4
"761","sp|P49722|PSA2_MOUSE","sp|P49722|PSA2_MOUSE","13","13","13","Proteasome subunit alpha type-2",1,13,13,13
"762","sp|Q61144|PSN2_MOUSE;sp|P49769|PSN1_MOUSE","sp|Q61144|PSN2_MOUSE;sp|P49769|PSN1_MOUSE","2;2","2;2","2;2","Presenilin-2;Presenilin-1",2,2,2,2
"763","sp|P49817|CAV1_MOUSE;sp|P51637|CAV3_MOUSE","sp|P49817|CAV1_MOUSE","9;1","9;1","9;1","Caveolin-1",2,9,9,9
"764","sp|P49935|CATH_MOUSE","sp|P49935|CATH_MOUSE","12","12","12","Pro-cathepsin H",1,12,12,12
"765","sp|P50171|DHB8_MOUSE","sp|P50171|DHB8_MOUSE","4","4","4","(3R)-3-hydroxyacyl-CoA dehydrogenase",1,4,4,4
"766","sp|P50172|DHI1_MOUSE","sp|P50172|DHI1_MOUSE","7","7","7","Corticosteroid 11-beta-dehydrogenase isozyme 1",1,7,7,7
"767","sp|P50247|SAHH_MOUSE","sp|P50247|SAHH_MOUSE","20","20","20","Adenosylhomocysteinase",1,20,20,20
"768","sp|P50285|FMO1_MOUSE","sp|P50285|FMO1_MOUSE","10","10","10","Dimethylaniline monooxygenase [N-oxide-forming] 1",1,10,10,10
"769","sp|P50396|GDIA_MOUSE","sp|P50396|GDIA_MOUSE","18","10","10","Rab GDP dissociation inhibitor alpha",1,18,10,10
"770","sp|P50404|SFTPD_MOUSE","sp|P50404|SFTPD_MOUSE","5","5","5","Pulmonary surfactant-associated protein D",1,5,5,5
"771","sp|P50405|PSPB_MOUSE","sp|P50405|PSPB_MOUSE","12","12","12","Pulmonary surfactant-associated protein B",1,12,12,12
"772","sp|P50427|STS_MOUSE","sp|P50427|STS_MOUSE","5","5","5","Steryl-sulfatase",1,5,5,5
"773","sp|P50429|ARSB_MOUSE","sp|P50429|ARSB_MOUSE","3","3","3","Arylsulfatase B",1,3,3,3
"774","sp|P50516|VATA_MOUSE","sp|P50516|VATA_MOUSE","34","34","34","V-type proton ATPase catalytic subunit A",1,34,34,34
"775","sp|P50518|VATE1_MOUSE;sp|Q9D593|VATE2_MOUSE","sp|P50518|VATE1_MOUSE","10;1","10;1","10;1","V-type proton ATPase subunit E 1",2,10,10,10
"776","sp|P50543|S10AB_MOUSE","sp|P50543|S10AB_MOUSE","7","7","7","Protein S100-A11",1,7,7,7
"777","sp|P50544|ACADV_MOUSE","sp|P50544|ACADV_MOUSE","25","25","25","Very long-chain specific acyl-CoA dehydrogenase, mitochondrial",1,25,25,25
"778","sp|P50580|PA2G4_MOUSE","sp|P50580|PA2G4_MOUSE","17","17","17","Proliferation-associated protein 2G4",1,17,17,17
"779","sp|P50637|TSPO_MOUSE","sp|P50637|TSPO_MOUSE","2","2","2","Translocator protein",1,2,2,2
"780","sp|P50752|TNNT2_MOUSE","sp|P50752|TNNT2_MOUSE","5","5","5","Troponin T, cardiac muscle",1,5,5,5
"781","sp|P51125|ICAL_MOUSE","sp|P51125|ICAL_MOUSE","26","26","26","Calpastatin",1,26,26,26
"782","sp|P51150|RAB7A_MOUSE","sp|P51150|RAB7A_MOUSE","16","16","16","Ras-related protein Rab-7a",1,16,16,16
"783","sp|P51174|ACADL_MOUSE","sp|P51174|ACADL_MOUSE","25","25","25","Long-chain specific acyl-CoA dehydrogenase, mitochondrial",1,25,25,25
"784","sp|P51175|PPOX_MOUSE","sp|P51175|PPOX_MOUSE","3","3","3","Protoporphyrinogen oxidase",1,3,3,3
"785","sp|P51410|RL9_MOUSE","sp|P51410|RL9_MOUSE","12","12","12","60S ribosomal protein L9",1,12,12,12
"786","sp|P51432|PLCB3_MOUSE","sp|P51432|PLCB3_MOUSE","2","2","2","1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase beta-3",1,2,2,2
"787","sp|P51437|CAMP_MOUSE","sp|P51437|CAMP_MOUSE","6","6","6","Cathelicidin antimicrobial peptide",1,6,6,6
"788","sp|P51660|DHB4_MOUSE","sp|P51660|DHB4_MOUSE","25","25","25","Peroxisomal multifunctional enzyme type 2",1,25,25,25
"789","sp|P51807|DYLT1_MOUSE","sp|P51807|DYLT1_MOUSE","3","3","3","Dynein light chain Tctex-type 1",1,3,3,3
"790","sp|P51859|HDGF_MOUSE","sp|P51859|HDGF_MOUSE","10","10","10","Hepatoma-derived growth factor",1,10,10,10
"791","sp|P51863|VA0D1_MOUSE","sp|P51863|VA0D1_MOUSE","8","8","8","V-type proton ATPase subunit d 1",1,8,8,8
"792","sp|P51881|ADT2_MOUSE","sp|P51881|ADT2_MOUSE","37","37","23","ADP/ATP translocase 2",1,37,37,23
"793","sp|P52196|THTR_MOUSE","sp|P52196|THTR_MOUSE","15","15","15","Thiosulfate sulfurtransferase",1,15,15,15
"794","sp|P52430|PON1_MOUSE","sp|P52430|PON1_MOUSE","5","5","5","Serum paraoxonase/arylesterase 1",1,5,5,5
"795","sp|P52431|DPOD1_MOUSE","sp|P52431|DPOD1_MOUSE","3","3","3","DNA polymerase delta catalytic subunit",1,3,3,3
"796","sp|P52432|RPAC1_MOUSE","sp|P52432|RPAC1_MOUSE","2","2","2","DNA-directed RNA polymerases I and III subunit RPAC1",1,2,2,2
"797","sp|P52480|KPYM_MOUSE;sp|P53657|KPYR_MOUSE","sp|P52480|KPYM_MOUSE","50;2","50;2","50;2","Pyruvate kinase PKM",2,50,50,50
"798","sp|P52503|NDUS6_MOUSE","sp|P52503|NDUS6_MOUSE","4","4","4","NADH dehydrogenase [ubiquinone] iron-sulfur protein 6, mitochondrial",1,4,4,4
"799","sp|P52633|STAT6_MOUSE","sp|P52633|STAT6_MOUSE","2","2","2","Signal transducer and transcription activator 6",1,2,2,2
"800","sp|P52825|CPT2_MOUSE","sp|P52825|CPT2_MOUSE","9","9","9","Carnitine O-palmitoyltransferase 2, mitochondrial",1,9,9,9
"801","sp|P53026|RL10A_MOUSE","sp|P53026|RL10A_MOUSE","8","8","8","60S ribosomal protein L10a",1,8,8,8
"802","sp|P53395|ODB2_MOUSE","sp|P53395|ODB2_MOUSE","7","7","7","Lipoamide acyltransferase component of branched-chain alpha-keto acid dehydrogenase complex, mitochondrial",1,7,7,7
"803","sp|P53810|PIPNA_MOUSE","sp|P53810|PIPNA_MOUSE","10","10","9","Phosphatidylinositol transfer protein alpha isoform",1,10,10,9
"804","sp|P53994|RAB2A_MOUSE;sp|P59279|RAB2B_MOUSE","sp|P53994|RAB2A_MOUSE","15;6","15;6","15;6","Ras-related protein Rab-2A",2,15,15,15
"805","sp|P53996|CNBP_MOUSE","sp|P53996|CNBP_MOUSE","5","5","5","Cellular nucleic acid-binding protein",1,5,5,5
"806","sp|P54071|IDHP_MOUSE","sp|P54071|IDHP_MOUSE","33","33","32","Isocitrate dehydrogenase [NADP], mitochondrial",1,33,33,32
"807","sp|P54116|STOM_MOUSE","sp|P54116|STOM_MOUSE","16","16","16","Stomatin",1,16,16,16
"808","sp|P54227|STMN1_MOUSE","sp|P54227|STMN1_MOUSE","7","7","6","Stathmin",1,7,7,6
"809","sp|P54276|MSH6_MOUSE","sp|P54276|MSH6_MOUSE","3","3","3","DNA mismatch repair protein Msh6",1,3,3,3
"810","sp|P54728|RD23B_MOUSE","sp|P54728|RD23B_MOUSE","4","4","3","UV excision repair protein RAD23 homolog B",1,4,4,3
"811","sp|P54729|NUB1_MOUSE","sp|P54729|NUB1_MOUSE","4","4","4","NEDD8 ultimate buster 1",1,4,4,4
"812","sp|P54775|PRS6B_MOUSE","sp|P54775|PRS6B_MOUSE","17","17","17","26S proteasome regulatory subunit 6B",1,17,17,17
"813","sp|P54818|GALC_MOUSE","sp|P54818|GALC_MOUSE","2","2","2","Galactocerebrosidase",1,2,2,2
"814","sp|P54822|PUR8_MOUSE","sp|P54822|PUR8_MOUSE","9","9","9","Adenylosuccinate lyase",1,9,9,9
"815","sp|P54823|DDX6_MOUSE","sp|P54823|DDX6_MOUSE","8","8","8","Probable ATP-dependent RNA helicase DDX6",1,8,8,8
"816","sp|P54869|HMCS2_MOUSE","sp|P54869|HMCS2_MOUSE","6","6","6","Hydroxymethylglutaryl-CoA synthase, mitochondrial",1,6,6,6
"817","sp|P54923|ADPRH_MOUSE","sp|P54923|ADPRH_MOUSE","4","4","4","[Protein ADP-ribosylarginine] hydrolase",1,4,4,4
"818","sp|P55012|S12A2_MOUSE","sp|P55012|S12A2_MOUSE","3","3","3","Solute carrier family 12 member 2",1,3,3,3
"819","sp|P55096|ABCD3_MOUSE","sp|P55096|ABCD3_MOUSE","11","11","11","ATP-binding cassette sub-family D member 3",1,11,11,11
"820","sp|P55194|3BP1_MOUSE","sp|P55194|3BP1_MOUSE","2","2","2","SH3 domain-binding protein 1",1,2,2,2
"821","sp|P55258|RAB8A_MOUSE;sp|Q8K386|RAB15_MOUSE","sp|P55258|RAB8A_MOUSE","8;1","7;0","6;0","Ras-related protein Rab-8A",2,8,7,6
"822","sp|P55264|ADK_MOUSE","sp|P55264|ADK_MOUSE","7","7","7","Adenosine kinase",1,7,7,7
"823","sp|P55302|AMRP_MOUSE","sp|P55302|AMRP_MOUSE","5","5","5","Alpha-2-macroglobulin receptor-associated protein",1,5,5,5
"824","sp|P56135|ATPK_MOUSE","sp|P56135|ATPK_MOUSE","4","4","4","ATP synthase subunit f, mitochondrial",1,4,4,4
"825","sp|P56183|RRP1_MOUSE","sp|P56183|RRP1_MOUSE","2","2","2","Ribosomal RNA processing protein 1 homolog A",1,2,2,2
"826","sp|P56376|ACYP1_MOUSE","sp|P56376|ACYP1_MOUSE","3","3","3","Acylphosphatase-1",1,3,3,3
"827","sp|P56391|CX6B1_MOUSE","sp|P56391|CX6B1_MOUSE","9","9","9","Cytochrome c oxidase subunit 6B1",1,9,9,9
"828","sp|P56395|CYB5_MOUSE","sp|P56395|CYB5_MOUSE","11","11","11","Cytochrome b5",1,11,11,11
"829","sp|P56399|UBP5_MOUSE","sp|P56399|UBP5_MOUSE","23","23","23","Ubiquitin carboxyl-terminal hydrolase 5",1,23,23,23
"830","sp|P56480|ATPB_MOUSE","sp|P56480|ATPB_MOUSE","44","44","44","ATP synthase subunit beta, mitochondrial",1,44,44,44
"831","sp|P56501|UCP3_MOUSE;sp|P70406|UCP2_MOUSE","sp|P56501|UCP3_MOUSE;sp|P70406|UCP2_MOUSE","2;1","2;1","2;1","Mitochondrial uncoupling protein 3;Mitochondrial uncoupling protein 2",2,2,2,2
"832","sp|P56565|S10A1_MOUSE","sp|P56565|S10A1_MOUSE","2","2","2","Protein S100-A1",1,2,2,2
"833","sp|P56716|RP1_MOUSE","sp|P56716|RP1_MOUSE","2","2","2","Oxygen-regulated protein 1",1,2,2,2
"834","sp|P56812|PDCD5_MOUSE","sp|P56812|PDCD5_MOUSE","2","2","2","Programmed cell death protein 5",1,2,2,2
"835","sp|P56959|FUS_MOUSE","sp|P56959|FUS_MOUSE","12","12","12","RNA-binding protein FUS",1,12,12,12
"836","sp|P57716|NICA_MOUSE","sp|P57716|NICA_MOUSE","2","2","2","Nicastrin",1,2,2,2
"837","sp|P57746|VATD_MOUSE","sp|P57746|VATD_MOUSE","6","6","6","V-type proton ATPase subunit D",1,6,6,6
"838","sp|P57759|ERP29_MOUSE","sp|P57759|ERP29_MOUSE","8","8","8","Endoplasmic reticulum resident protein 29",1,8,8,8
"839","sp|P57776|EF1D_MOUSE","sp|P57776|EF1D_MOUSE","12","12","12","Elongation factor 1-delta",1,12,12,12
"840","sp|P57780|ACTN4_MOUSE;sp|Q9JI91|ACTN2_MOUSE","sp|P57780|ACTN4_MOUSE","69;10","69;10","46;1","Alpha-actinin-4",2,69,69,46
"841","sp|P57784|RU2A_MOUSE","sp|P57784|RU2A_MOUSE","13","13","13","U2 small nuclear ribonucleoprotein A",1,13,13,13
"842","sp|P58021|TM9S2_MOUSE","sp|P58021|TM9S2_MOUSE","4","4","4","Transmembrane 9 superfamily member 2",1,4,4,4
"843","sp|P58252|EF2_MOUSE","sp|P58252|EF2_MOUSE","61","61","60","Elongation factor 2",1,61,61,60
"844","sp|P58281|OPA1_MOUSE","sp|P58281|OPA1_MOUSE","6","6","6","Dynamin-like 120 kDa protein, mitochondrial",1,6,6,6
"845","sp|P58389|PTPA_MOUSE","sp|P58389|PTPA_MOUSE","8","8","8","Serine/threonine-protein phosphatase 2A activator",1,8,8,8
"846","sp|P58771|TPM1_MOUSE","sp|P58771|TPM1_MOUSE","30","28","14","Tropomyosin alpha-1 chain",1,30,28,14
"847","sp|P59017|B2L13_MOUSE","sp|P59017|B2L13_MOUSE","2","2","2","Bcl-2-like protein 13",1,2,2,2
"848","sp|P59242|CING_MOUSE","sp|P59242|CING_MOUSE","2","2","2","Cingulin",1,2,2,2
"849","sp|P59325|IF5_MOUSE","sp|P59325|IF5_MOUSE","7","7","7","Eukaryotic translation initiation factor 5",1,7,7,7
"850","sp|P59708|SF3B6_MOUSE","sp|P59708|SF3B6_MOUSE","3","3","3","Splicing factor 3B subunit 6",1,3,3,3
"851","sp|P59999|ARPC4_MOUSE","sp|P59999|ARPC4_MOUSE","15","15","15","Actin-related protein 2/3 complex subunit 4",1,15,15,15
"852","sp|P60122|RUVB1_MOUSE","sp|P60122|RUVB1_MOUSE","17","17","17","RuvB-like 1",1,17,17,17
"853","sp|P60229|EIF3E_MOUSE","sp|P60229|EIF3E_MOUSE","11","11","11","Eukaryotic translation initiation factor 3 subunit E",1,11,11,11
"854","sp|P60335|PCBP1_MOUSE","sp|P60335|PCBP1_MOUSE","17","17","12","Poly(rC)-binding protein 1",1,17,17,12
"855","sp|P60670|NPL4_MOUSE","sp|P60670|NPL4_MOUSE","3","3","3","Nuclear protein localization protein 4 homolog",1,3,3,3
"856","sp|P60710|ACTB_MOUSE","sp|P60710|ACTB_MOUSE","60","60","3","Actin, cytoplasmic 1",1,60,60,3
"857","sp|P60766|CDC42_MOUSE;sp|Q8R527|RHOQ_MOUSE;sp|Q9ER71|RHOJ_MOUSE","sp|P60766|CDC42_MOUSE","18;1;1","18;1;1","17;0;0","Cell division control protein 42 homolog",3,18,18,17
"858","sp|P60824|CIRBP_MOUSE","sp|P60824|CIRBP_MOUSE","2","2","2","Cold-inducible RNA-binding protein",1,2,2,2
"859","sp|P60843|IF4A1_MOUSE","sp|P60843|IF4A1_MOUSE","27","27","16","Eukaryotic initiation factor 4A-I",1,27,27,16
"860","sp|P60867|RS20_MOUSE","sp|P60867|RS20_MOUSE","6","6","6","40S ribosomal protein S20",1,6,6,6
"861","sp|P60904|DNJC5_MOUSE","sp|P60904|DNJC5_MOUSE","2","2","2","DnaJ homolog subfamily C member 5",1,2,2,2
"862","sp|P60954|NOL4_MOUSE","sp|P60954|NOL4_MOUSE","2","2","2","Nucleolar protein 4",1,2,2,2
"863","sp|P61021|RAB5B_MOUSE","sp|P61021|RAB5B_MOUSE","8","5","5","Ras-related protein Rab-5B",1,8,5,5
"864","sp|P61022|CHP1_MOUSE","sp|P61022|CHP1_MOUSE","3","3","3","Calcineurin B homologous protein 1",1,3,3,3
"865","sp|P61027|RAB10_MOUSE;sp|Q9DD03|RAB13_MOUSE","sp|P61027|RAB10_MOUSE","10;2","9;1","9;1","Ras-related protein Rab-10",2,10,9,9
"866","sp|P61028|RAB8B_MOUSE","sp|P61028|RAB8B_MOUSE","7","5","5","Ras-related protein Rab-8B",1,7,5,5
"867","sp|P61079|UB2D3_MOUSE;sp|P62838|UB2D2_MOUSE;sp|P61080|UB2D1_MOUSE;sp|Q6ZWY6|U2D2B_MOUSE","sp|P61079|UB2D3_MOUSE;sp|P62838|UB2D2_MOUSE","3;2;1;1","3;2;1;1","3;2;1;1","Ubiquitin-conjugating enzyme E2 D3;Ubiquitin-conjugating enzyme E2 D2",4,3,3,3
"868","sp|P61082|UBC12_MOUSE","sp|P61082|UBC12_MOUSE","3","3","3","NEDD8-conjugating enzyme Ubc12",1,3,3,3
"869","sp|P61087|UBE2K_MOUSE","sp|P61087|UBE2K_MOUSE","3","3","3","Ubiquitin-conjugating enzyme E2 K",1,3,3,3
"870","sp|P61089|UBE2N_MOUSE","sp|P61089|UBE2N_MOUSE","6","6","6","Ubiquitin-conjugating enzyme E2 N",1,6,6,6
"871","sp|P61161|ARP2_MOUSE","sp|P61161|ARP2_MOUSE","23","23","23","Actin-related protein 2",1,23,23,23
"872","sp|P61164|ACTZ_MOUSE","sp|P61164|ACTZ_MOUSE","14","14","5","Alpha-centractin",1,14,14,5
"873","sp|P61202|CSN2_MOUSE","sp|P61202|CSN2_MOUSE","9","9","9","COP9 signalosome complex subunit 2",1,9,9,9
"874","sp|P84078|ARF1_MOUSE;sp|P61205|ARF3_MOUSE","sp|P84078|ARF1_MOUSE;sp|P61205|ARF3_MOUSE","16;16","16;16","5;5","ADP-ribosylation factor 1;ADP-ribosylation factor 3",2,16,16,5
"875","sp|P61211|ARL1_MOUSE","sp|P61211|ARL1_MOUSE","4","4","4","ADP-ribosylation factor-like protein 1",1,4,4,4
"876","sp|P61222|ABCE1_MOUSE","sp|P61222|ABCE1_MOUSE","9","9","9","ATP-binding cassette sub-family E member 1",1,9,9,9
"877","sp|P61226|RAP2B_MOUSE","sp|P61226|RAP2B_MOUSE","5","5","3","Ras-related protein Rap-2b",1,5,5,3
"878","sp|P61255|RL26_MOUSE","sp|P61255|RL26_MOUSE","14","14","14","60S ribosomal protein L26",1,14,14,14
"879","sp|P61290|PSME3_MOUSE","sp|P61290|PSME3_MOUSE","5","5","5","Proteasome activator complex subunit 3",1,5,5,5
"880","sp|P61327|MGN_MOUSE;sp|Q9CQL1|MGN2_MOUSE","sp|P61327|MGN_MOUSE;sp|Q9CQL1|MGN2_MOUSE","8;7","8;7","8;7","Protein mago nashi homolog;Protein mago nashi homolog 2",2,8,8,8
"881","sp|P61358|RL27_MOUSE","sp|P61358|RL27_MOUSE","6","6","6","60S ribosomal protein L27",1,6,6,6
"882","sp|P61458|PHS_MOUSE","sp|P61458|PHS_MOUSE","3","3","3","Pterin-4-alpha-carbinolamine dehydratase",1,3,3,3
"883","sp|P61514|RL37A_MOUSE","sp|P61514|RL37A_MOUSE","5","5","5","60S ribosomal protein L37a",1,5,5,5
"884","sp|P61620|S61A1_MOUSE;sp|Q9JLR1|S61A2_MOUSE","sp|P61620|S61A1_MOUSE","9;4","9;4","9;4","Protein transport protein Sec61 subunit alpha isoform 1",2,9,9,9
"885","sp|P61750|ARF4_MOUSE","sp|P61750|ARF4_MOUSE","7","2","2","ADP-ribosylation factor 4",1,7,2,2
"886","sp|P61759|PFD3_MOUSE","sp|P61759|PFD3_MOUSE","2","2","2","Prefoldin subunit 3",1,2,2,2
"887","sp|P61924|COPZ1_MOUSE","sp|P61924|COPZ1_MOUSE","5","5","5","Coatomer subunit zeta-1",1,5,5,5
"888","sp|P61957|SUMO2_MOUSE;sp|Q9Z172|SUMO3_MOUSE","sp|P61957|SUMO2_MOUSE","4;1","4;1","4;1","Small ubiquitin-related modifier 2",2,4,4,4
"889","sp|P61961|UFM1_MOUSE","sp|P61961|UFM1_MOUSE","2","2","2","Ubiquitin-fold modifier 1",1,2,2,2
"890","sp|P61965|WDR5_MOUSE","sp|P61965|WDR5_MOUSE","3","3","3","WD repeat-containing protein 5",1,3,3,3
"891","sp|P61971|NTF2_MOUSE","sp|P61971|NTF2_MOUSE","3","3","3","Nuclear transport factor 2",1,3,3,3
"892","sp|P61979|HNRPK_MOUSE","sp|P61979|HNRPK_MOUSE","37","37","37","Heterogeneous nuclear ribonucleoprotein K",1,37,37,37
"893","sp|P61982|1433G_MOUSE","sp|P61982|1433G_MOUSE","25","17","16","14-3-3 protein gamma",1,25,17,16
"894","sp|P62075|TIM13_MOUSE","sp|P62075|TIM13_MOUSE","3","3","3","Mitochondrial import inner membrane translocase subunit Tim13",1,3,3,3
"895","sp|P62077|TIM8B_MOUSE","sp|P62077|TIM8B_MOUSE","2","2","2","Mitochondrial import inner membrane translocase subunit Tim8 B",1,2,2,2
"896","sp|P62082|RS7_MOUSE","sp|P62082|RS7_MOUSE","19","19","19","40S ribosomal protein S7",1,19,19,19
"897","sp|P62137|PP1A_MOUSE","sp|P62137|PP1A_MOUSE","18","18","6","Serine/threonine-protein phosphatase PP1-alpha catalytic subunit",1,18,18,6
"898","sp|P62141|PP1B_MOUSE","sp|P62141|PP1B_MOUSE","15","3","3","Serine/threonine-protein phosphatase PP1-beta catalytic subunit",1,15,3,3
"899","sp|P62192|PRS4_MOUSE","sp|P62192|PRS4_MOUSE","13","13","13","26S proteasome regulatory subunit 4",1,13,13,13
"900","sp|P62196|PRS8_MOUSE","sp|P62196|PRS8_MOUSE","13","13","13","26S proteasome regulatory subunit 8",1,13,13,13
"901","sp|P62242|RS8_MOUSE","sp|P62242|RS8_MOUSE","15","15","15","40S ribosomal protein S8",1,15,15,15
"902","sp|P62245|RS15A_MOUSE","sp|P62245|RS15A_MOUSE","8","8","8","40S ribosomal protein S15a",1,8,8,8
"903","sp|P62259|1433E_MOUSE","sp|P62259|1433E_MOUSE","23","20","20","14-3-3 protein epsilon",1,23,20,20
"904","sp|P62264|RS14_MOUSE","sp|P62264|RS14_MOUSE","8","8","8","40S ribosomal protein S14",1,8,8,8
"905","sp|P62267|RS23_MOUSE","sp|P62267|RS23_MOUSE","5","5","5","40S ribosomal protein S23",1,5,5,5
"906","sp|P62270|RS18_MOUSE","sp|P62270|RS18_MOUSE","16","16","16","40S ribosomal protein S18",1,16,16,16
"907","sp|P62281|RS11_MOUSE","sp|P62281|RS11_MOUSE","11","11","11","40S ribosomal protein S11",1,11,11,11
"908","sp|P62301|RS13_MOUSE","sp|P62301|RS13_MOUSE","16","16","16","40S ribosomal protein S13",1,16,16,16
"909","sp|P62305|RUXE_MOUSE","sp|P62305|RUXE_MOUSE","3","3","3","Small nuclear ribonucleoprotein E",1,3,3,3
"910","sp|P62307|RUXF_MOUSE","sp|P62307|RUXF_MOUSE","3","3","3","Small nuclear ribonucleoprotein F",1,3,3,3
"911","sp|P62309|RUXG_MOUSE","sp|P62309|RUXG_MOUSE","2","2","2","Small nuclear ribonucleoprotein G",1,2,2,2
"912","sp|P62311|LSM3_MOUSE","sp|P62311|LSM3_MOUSE","3","3","3","U6 snRNA-associated Sm-like protein LSm3",1,3,3,3
"913","sp|P62313|LSM6_MOUSE","sp|P62313|LSM6_MOUSE","3","3","3","U6 snRNA-associated Sm-like protein LSm6",1,3,3,3
"914","sp|P62315|SMD1_MOUSE","sp|P62315|SMD1_MOUSE","5","5","5","Small nuclear ribonucleoprotein Sm D1",1,5,5,5
"915","sp|P62317|SMD2_MOUSE","sp|P62317|SMD2_MOUSE","8","8","8","Small nuclear ribonucleoprotein Sm D2",1,8,8,8
"916","sp|P62320|SMD3_MOUSE","sp|P62320|SMD3_MOUSE","7","7","7","Small nuclear ribonucleoprotein Sm D3",1,7,7,7
"917","sp|P62322|LSM5_MOUSE","sp|P62322|LSM5_MOUSE","3","3","3","U6 snRNA-associated Sm-like protein LSm5",1,3,3,3
"918","sp|P62331|ARF6_MOUSE","sp|P62331|ARF6_MOUSE","3","3","3","ADP-ribosylation factor 6",1,3,3,3
"919","sp|P62334|PRS10_MOUSE","sp|P62334|PRS10_MOUSE","16","16","16","26S proteasome regulatory subunit 10B",1,16,16,16
"920","sp|P62482|KCAB2_MOUSE","sp|P62482|KCAB2_MOUSE","4","4","4","Voltage-gated potassium channel subunit beta-2",1,4,4,4
"921","sp|P62627|DLRB1_MOUSE","sp|P62627|DLRB1_MOUSE","2","2","2","Dynein light chain roadblock-type 1",1,2,2,2
"922","sp|P62702|RS4X_MOUSE","sp|P62702|RS4X_MOUSE","19","19","19","40S ribosomal protein S4, X isoform",1,19,19,19
"923","sp|P62717|RL18A_MOUSE","sp|P62717|RL18A_MOUSE","11","11","11","60S ribosomal protein L18a",1,11,11,11
"924","sp|P62743|AP2S1_MOUSE","sp|P62743|AP2S1_MOUSE","4","4","4","AP-2 complex subunit sigma",1,4,4,4
"925","sp|P62748|HPCL1_MOUSE","sp|P62748|HPCL1_MOUSE","7","7","4","Hippocalcin-like protein 1",1,7,7,4
"926","sp|P62751|RL23A_MOUSE","sp|P62751|RL23A_MOUSE","10","10","10","60S ribosomal protein L23a",1,10,10,10
"927","sp|P62754|RS6_MOUSE","sp|P62754|RS6_MOUSE","12","12","12","40S ribosomal protein S6",1,12,12,12
"928","sp|P62774|MTPN_MOUSE","sp|P62774|MTPN_MOUSE","9","9","9","Myotrophin",1,9,9,9
